time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2020-08-28,397.48,379.79,382.98,2554001.61,998089991.71,395.12,direct,
2020-08-29,405.44,392.02,395.12,2324600.81,929476399.38,398.63,direct,
2020-08-30,429.67,398.47,398.63,3188958.41,1319741770.91,428.89,direct,
2020-08-31,438.7,418.35,428.89,3667918.59,1577799737.19,433.8,direct,
2020-09-01,488.4,429.77,433.8,5732691.84,2660923678.01,475.78,direct,
2020-09-02,480.95,421.39,475.78,6225460.4,2803863233.58,439.59,direct,
2020-09-03,450.42,377.58,439.59,7175493.31,2985479067.39,381.81,direct,
2020-09-04,399.46,363.36,381.81,3709779.1,1428585591.69,385.41,direct,
2020-09-05,394.23,312.32,385.41,7675261.26,2697710723.58,335.09,direct,
2020-09-06,359.92,316.53,335.09,6303902.43,2157819889.34,352.59,direct,
2020-09-07,358.37,323.68,352.59,4841173.4,1663203504.55,353.53,direct,
2020-09-08,356.18,326.11,353.53,4094194.28,1394393503.17,337.31,direct,
2020-09-09,358.82,330.93,337.31,3119839.3,1079360686.9,350.8,direct,
2020-09-10,377.05,350.39,350.8,3994435.74,1466759302.65,367.91,direct,
2020-09-11,375.01,356.15,367.91,2901930.01,1061828721.98,373.63,direct,
2020-09-12,388.06,365.2,373.63,2475448.94,926936784.41,387.81,direct,
2020-09-13,389.21,353.7,387.81,3264719.95,1215483540.67,366.2,direct,
2020-09-14,383.78,356.2,366.2,3505697.93,1300701762.67,377.1,direct,
2020-09-15,382.18,362.65,377.1,3256557.78,1209292414.19,364.07,direct,
2020-09-16,373.03,355.33,364.07,3078522.37,1121385849.63,364.95,direct,
2020-09-17,393.93,363.55,364.95,4740012.58,1808417127.62,389.35,direct,
2020-09-18,392.42,375.74,389.35,2730878.48,1049051433.42,384.34,direct,
2020-09-19,387.88,377.14,384.34,1792919.81,686772613.99,385.22,direct,
2020-09-20,385.28,365.47,385.22,2154250.58,807704445.65,371.01,direct,
2020-09-21,375.94,333.04,371.01,3186552.39,1115900144.42,340.11,direct,
2020-09-22,346.6,335.74,340.11,2676149.83,915169516.86,344.14,direct,
2020-09-23,344.49,314.86,344.14,2865251.84,957759874.43,320.27,direct,
2020-09-24,352.32,317.09,320.27,3227455.69,1084420468.27,349.01,direct,
2020-09-25,357.73,337.88,349.01,2776317.56,961695472.33,351.85,direct,
2020-09-26,355.81,346.37,351.85,2392261.53,841764041.86,353.94,direct,
2020-09-27,361.99,347.73,353.94,2354936.19,838011951.69,357.48,direct,
2020-09-28,367.53,352.39,357.48,2475295.57,892125487.15,353.97,direct,
2020-09-29,360.51,350.88,353.97,2219878.03,789436666.95,359.79,direct,
2020-09-30,361.12,351.86,359.79,1691000.72,602604810.25,359.75,direct,
2020-10-01,368.99,345.9,359.75,2430839.61,871558419.3,352.98,direct,
2020-10-02,354.21,334.61,352.98,2648913.96,909895357.92,345.61,direct,
2020-10-03,350.91,343.93,345.61,1376641.94,477843104.03,345.91,direct,
2020-10-04,354.12,344.09,345.91,1409918.1,491492967.29,352.36,direct,
2020-10-05,355.0,348.93,352.36,1489587.58,524539820.04,353.49,direct,
2020-10-06,354.72,337.01,353.49,2054652.55,713024482.27,340.81,direct,
2020-10-07,342.72,333.48,340.81,1884776.48,639754946.72,341.68,direct,
2020-10-08,352.76,334.42,341.68,2070012.38,711296313.37,350.78,direct,
2020-10-09,368.17,347.68,350.78,2236948.96,800574305.74,364.98,direct,
2020-10-10,378.19,364.76,364.98,2194687.87,819333607.8,370.59,direct,
2020-10-11,377.31,369.02,370.59,1415741.17,528379955.03,374.18,direct,
2020-10-12,394.74,365.81,374.18,2765558.31,1051440292.73,386.53,direct,
2020-10-13,387.5,374.76,386.53,2520604.44,962727689.89,381.04,direct,
2020-10-14,387.21,373.39,381.04,2329115.14,884843667.45,378.69,direct,
2020-10-15,380.76,370.13,378.69,2537449.54,954366805.65,377.59,direct,
2020-10-16,379.63,361.78,377.59,2302525.49,849327029.8,365.36,direct,
2020-10-17,370.18,363.46,365.36,1175718.29,431690535.48,368.33,direct,
2020-10-18,378.47,367.32,368.33,1241477.7,463334676.7,378.07,direct,
2020-10-19,383.98,372.84,378.07,1980731.47,748776312.62,379.22,direct,
2020-10-20,380.63,366.77,379.22,2415938.99,900594879.67,368.47,direct,
2020-10-21,400.43,367.75,368.47,3812153.65,1471385489.3,390.64,direct,
2020-10-22,420.38,390.38,390.64,3661516.55,1492520343.81,413.9,direct,
2020-10-23,419.06,401.87,413.9,2357215.21,971946252.76,409.22,direct,
2020-10-24,416.42,407.08,409.22,1570329.37,646984134.08,412.12,direct,
2020-10-25,417.22,403.4,412.12,1528995.83,625650197.82,405.84,direct,
2020-10-26,410.91,382.88,405.84,2815413.94,1122493299.35,392.68,direct,
2020-10-27,409.7,390.04,392.68,1967131.14,784786430.32,403.51,direct,
2020-10-28,409.01,380.92,403.51,1408399.16,552816071.83,388.47,direct,
2020-10-29,393.33,380.96,388.47,1719231.27,668415806.24,387.24,direct,
2020-10-30,391.7,374.14,387.24,2600411.64,992378040.85,382.44,direct,
2020-10-31,393.4,380.41,382.44,1872824.43,724940255.28,386.42,direct,
2020-11-01,397.3,384.63,386.42,1603115.21,624695276.96,396.43,direct,
2020-11-02,403.89,378.22,396.43,2672790.89,1043325105.55,383.16,direct,
2020-11-03,389.68,370.5,383.16,1223224.12,465101802.16,387.71,direct,
2020-11-04,407.76,377.3,387.71,1417865.68,554855622.23,401.92,direct,
2020-11-05,419.95,396.72,401.92,1575295.18,641513109.88,416.47,direct,
2020-11-06,457.69,415.12,416.47,1919614.99,840471810.71,455.59,direct,
2020-11-07,467.63,426.22,455.59,1840231.52,829939619.81,435.24,direct,
2020-11-08,459.67,432.51,435.24,1323919.14,590717137.29,454.5,direct,
2020-11-09,458.37,434.37,454.5,1413967.24,633276963.7,444.11,direct,
2020-11-10,454.59,439.45,444.11,1524235.09,683082868.21,450.3,direct,
2020-11-11,475.92,449.38,450.3,3171693.38,1469991915.33,463.18,direct,
2020-11-12,469.64,452.16,463.18,2462438.75,1132816766.2,462.42,direct,
2020-11-13,477.71,457.57,462.42,2454711.94,1146187765.45,476.24,direct,
2020-11-14,477.18,452.31,476.24,1902268.58,879956783.41,460.51,direct,
2020-11-15,462.55,440.1,460.51,1697998.3,769262231.89,447.9,direct,
2020-11-16,465.66,445.52,447.9,2109886.51,963284938.91,460.19,direct,
2020-11-17,484.37,459.75,460.19,2911195.62,1373286926.88,481.98,direct,
2020-11-18,494.46,464.03,481.98,3558158.56,1699715264.5,478.22,direct,
2020-11-19,480.17,464.94,478.22,2519087.15,1193021664.25,471.14,direct,
2020-11-20,513.99,470.86,471.14,4263019.89,2123542345.84,510.13,direct,
2020-11-21,552.6,503.1,510.13,4294735.24,2257356978.85,552.13,direct,
